latitude	longitude	store_name	code	location	imei
37.73222	115.70111	Hengshui	CN	Asia/Shanghai	359043379931766668
36.46917	10.78222	Beni Khiar	TN	Africa/Tunis	3590433799317661669
43.61092	3.87723	Montpellier	FR	Europe/Paris	359043379931766767
20.88953	-156.47432	Kahului	US	Pacific/Honolulu	359043379931766502
42.819	47.1192	Buynaksk	RU	Europe/Moscow	3590433799317661370
36.46917	10.78222	Beni Khiar	TN	Africa/Tunis	8630330696303481933
7.83389	-72.47417	Villa del Rosario	CO	America/Bogota	8630330696303482105
32.44874	-99.73314	Abilene	US	America/Chicago	3590433799317661784
30.29184	71.67164	Qadirpur Ran	PK	Asia/Karachi	3590433799317661446
7.65649	4.92235	Efon-Alaaye	NG	Africa/Lagos	863033069630348537
52.61131	13.31783	Hermsdorf	DE	Europe/Berlin	3590433799317661339
37.05944	37.3825	Gaziantep	TR	Europe/Istanbul	359043379931766890
6.46838	-73.26022	Socorro	CO	America/Bogota	8630330696303482477
42.06166	-1.60452	Tudela	ES	Europe/Madrid	359043379931766270
-17.73648	168.31366	Port-Vila	VU	Pacific/Efate	359043379931766395
3.02013	30.91105	Arua	UG	Africa/Kampala	8630330696303481073
50.50301	13.63617	Most	CZ	Europe/Prague	359043379931766866
8.88988	-79.62603	Veracruz	PA	America/Panama	863033069630348115
14.62578	121.12251	Antipolo	PH	Asia/Manila	8630330696303482139
56.11281	69.49015	Ishim	RU	Asia/Yekaterinburg	359043379931766866
40.34912	-111.90466	Saratoga Springs	US	America/Denver	3590433799317662055
55.25	24.75	Ukmerge	LT	Europe/Vilnius	3590433799317662436
40.72586	8.55552	Sassari	IT	Europe/Rome	8630330696303482410
21.46527	83.97573	Sambalpur	IN	Asia/Kolkata	8630330696303481487
-8.05389	-34.88111	Recife	BR	America/Recife	8630330696303481362
48.07667	8.64409	Trossingen	DE	Europe/Berlin	359043379931766387
12.97389	123.99333	Sorsogon	PH	Asia/Manila	359043379931766940
64.5635	39.8302	Severodvinsk	RU	Europe/Moscow	3590433799317662121
42.35843	-71.05977	Boston	US	America/New_York	359043379931766254
53.30972	83.62389	Novosilikatnyy	RU	Asia/Barnaul	3590433799317661180
10.66668	-61.51889	Port of Spain	TT	America/Port_of_Spain	863033069630348602
32.52515	-93.75018	Shreveport	US	America/Chicago	359043379931766775
5.90702	116.10146	Donggongon	MY	Asia/Kuching	8630330696303481438
-37.88333	145.06667	Carnegie	AU	Australia/Melbourne	8630330696303481461
41.15376	-87.88754	Bourbonnais	US	America/Chicago	359043379931766114
30.81383	75.16878	Moga	IN	Asia/Kolkata	863033069630348719
9.535	-13.68778	Camayenne	GN	Africa/Conakry	8630330696303482279
26.68451	-80.66756	Belle Glade	US	America/New_York	3590433799317661800
42.30865	-83.48216	Canton	US	America/Detroit	8630330696303482238
28.92694	78.23456	Bachhraon	IN	Asia/Kolkata	8630330696303481578
38.96667	-0.18333	Gandia	ES	Europe/Madrid	3590433799317661933
43.31667	-2.68333	Gernika-Lumo	ES	Europe/Madrid	863033069630348297
44.59445	11.04979	Castelfranco Emilia	IT	Europe/Rome	8630330696303481099
-28.24	-48.67028	Imbituba	BR	America/Sao_Paulo	359043379931766890
53.30972	83.62389	Novosilikatnyy	RU	Asia/Barnaul	359043379931766676
48.35693	10.98461	Friedberg	DE	Europe/Berlin	359043379931766239
28.98002	77.70636	Meerut	IN	Asia/Kolkata	863033069630348040
35.74788	-95.36969	Muskogee	US	America/Chicago	863033069630348644
44.80477	-0.59543	Talence	FR	Europe/Paris	3590433799317661719
21.01858	-101.2591	Guanajuato	MX	America/Mexico_City	863033069630348628
-22.97056	-46.99583	Valinhos	BR	America/Sao_Paulo	8630330696303482030
41.77583	140.73667	Hakodate	JP	Asia/Tokyo	863033069630348115
5.84752	-5.682	Lakota	CI	Africa/Abidjan	863033069630348172
8.48714	-13.2356	Freetown	SL	Africa/Freetown	8630330696303481800
9.58126	8.2926	Kafanchan	NG	Africa/Lagos	3590433799317662329
55.75556	60.70278	Ozersk	RU	Asia/Yekaterinburg	3590433799317661826
13.51825	99.95469	Damnoen Saduak	TH	Asia/Bangkok	863033069630348909
24.81757	84.63445	Rafiganj	IN	Asia/Kolkata	3590433799317661321
48.06919	11.37703	Gauting	DE	Europe/Berlin	3590433799317661958
-19.72806	-50.19556	Iturama	BR	America/Sao_Paulo	3590433799317661610
45.44694	8.62118	Novara	IT	Europe/Rome	863033069630348602
64.5635	39.8302	Severodvinsk	RU	Europe/Moscow	3590433799317661875
39.43534	-84.20299	Lebanon	US	America/New_York	3590433799317662246
4.94273	15.87735	Carnot	CF	Africa/Bangui	359043379931766445
43.67681	4.63031	Arles	FR	Europe/Paris	359043379931766981
34.95303	-120.43572	Santa Maria	US	America/Los_Angeles	3590433799317662378
33.42585	-6.00137	Oulmes	MA	Africa/Casablanca	8630330696303482469
51.21187	4.25633	Beveren	BE	Europe/Brussels	8630330696303481909
40.93333	73	Jalal-Abad	KG	Asia/Bishkek	359043379931766106
0.51667	101.44167	Pekanbaru	ID	Asia/Jakarta	359043379931766767
34.75856	136.13108	Ueno-ebisumachi	JP	Asia/Tokyo	863033069630348966
41.55815	-73.0515	Waterbury	US	America/New_York	8630330696303481180
47.92526	-97.03285	Grand Forks	US	America/Chicago	3590433799317661461
49.03685	8.70745	Bretten	DE	Europe/Berlin	8630330696303482402
43.11667	1.6	Pamiers	FR	Europe/Paris	359043379931766056
8.88988	-79.62603	Veracruz	PA	America/Panama	3590433799317661628
-13.7804	34.4587	Salima	MW	Africa/Blantyre	8630330696303481768
-17.74431	-48.62789	Caldas Novas	BR	America/Sao_Paulo	3590433799317661230
45.0408	-93.263	Columbia Heights	US	America/Chicago	3590433799317661172
33.14447	47.3799	Darreh Shahr	IR	Asia/Tehran	863033069630348032
-8.99167	125.21972	Maliana	TL	Asia/Dili	8630330696303482279
53.93361	37.92792	Kireyevsk	RU	Europe/Moscow	863033069630348412
55.8736	85.4265	Yashkino	RU	Asia/Novokuznetsk	863033069630348388
27.09978	-82.45426	Venice	US	America/New_York	3590433799317662402
18.87813	72.93924	Uran	IN	Asia/Kolkata	3590433799317662451
53.43333	-7.95	Athlone	IE	Europe/Dublin	863033069630348875
61.78491	34.34691	Petrozavodsk	RU	Europe/Moscow	8630330696303481099
5.6561	-75.87877	Andes	CO	America/Bogota	8630330696303482030
8.48714	-13.2356	Freetown	SL	Africa/Freetown	359043379931766940
18.57677	-72.22625	Croix-des-Bouquets	HT	America/Port-au-Prince	3590433799317661842
23.73333	114.68333	Heyuan	CN	Asia/Shanghai	8630330696303481552
40.37528	28.88222	Mudanya	TR	Europe/Istanbul	863033069630348883
45.50369	11.412	Montecchio Maggiore-Alte Ceccato	IT	Europe/Rome	863033069630348784
-34.28853	146.05093	Griffith	AU	Australia/Sydney	8630330696303481487
40.34912	-111.90466	Saratoga Springs	US	America/Denver	3590433799317661719
35.48199	137.02166	Minokamo	JP	Asia/Tokyo	8630330696303481313
40.56754	-89.64066	Pekin	US	America/Chicago	3590433799317662410
-27.50578	153.10236	Carindale	AU	Australia/Brisbane	8630330696303481651
43.96222	43.63417	Novopavlovsk	RU	Europe/Moscow	359043379931766718
48.975658	14.480255	České Budějovice	CZ	Europe/Prague	3590433799317661065
41.84364	-87.71255	South Lawndale	US	America/Chicago	8630330696303481750
33.4425	129.96972	Karatsu	JP	Asia/Tokyo	8630330696303482360
47.48444	36.25361	Polohy	UA	Europe/Zaporozhye	8630330696303482493
33.45122	-86.99666	Hueytown	US	America/Chicago	8630330696303482055
53.49389	-1.29243	Mexborough	GB	Europe/London	863033069630348545
-38.65333	178.00417	Gisborne	NZ	Pacific/Auckland	359043379931766866
50.7236	-3.52751	Exeter	GB	Europe/London	863033069630348586
41.72059	-87.70172	Evergreen Park	US	America/Chicago	8630330696303482261
37.52487	-77.55777	Bon Air	US	America/New_York	359043379931766296
51.62907	-0.74934	High Wycombe	GB	Europe/London	3590433799317661461
-1.6	103.61667	Jambi City	ID	Asia/Jakarta	863033069630348727
22.75218	72.68533	Kheda	IN	Asia/Kolkata	8630330696303481685
13.56667	-15.6	Farafenni	GM	Africa/Banjul	3590433799317662287
33.03699	-117.29198	Encinitas	US	America/Los_Angeles	359043379931766411
10.66668	-61.51889	Port of Spain	TT	America/Port_of_Spain	359043379931766866
34.25628	-78.04471	Leland	US	America/New_York	359043379931766395
35.30889	139.55028	Kamakura	JP	Asia/Tokyo	359043379931766486
39.59611	27.02444	Edremit	TR	Europe/Istanbul	359043379931766593
35.20889	111.73861	Changzhi	CN	Asia/Shanghai	8630330696303482295
-34.28853	146.05093	Griffith	AU	Australia/Sydney	8630330696303482188
49.07866	30.96755	Zvenihorodka	UA	Europe/Kyiv	359043379931766353
33.92946	-116.97725	Beaumont	US	America/Los_Angeles	359043379931766320
25.6439	77.9129	Narwar	IN	Asia/Kolkata	8630330696303481701
51.82721	107.60627	Ulan-Ude	RU	Asia/Irkutsk	3590433799317661891
38.06084	-97.92977	Hutchinson	US	America/Chicago	3590433799317661404
23.9028	89.11943	Kushtia	BD	Asia/Dhaka	8630330696303481511
53.59337	9.47629	Stade	DE	Europe/Berlin	3590433799317661495
43.31667	-2.68333	Gernika-Lumo	ES	Europe/Madrid	359043379931766569
-4.26613	15.28318	Brazzaville	CG	Africa/Brazzaville	3590433799317661099
52.31333	6.92917	Oldenzaal	NL	Europe/Amsterdam	863033069630348529
16.0567	103.65309	Roi Et	TH	Asia/Bangkok	8630330696303482113
23.1959	86.51499	Kenda	IN	Asia/Kolkata	359043379931766650
40.63316	-74.13653	Port Richmond	US	America/New_York	8630330696303481230
41.47892	-87.45476	Schererville	US	America/Chicago	8630330696303481420
-4.06667	37.73333	Same	TZ	Africa/Dar_es_Salaam	863033069630348487
41.82143	41.77921	Kobuleti	GE	Asia/Tbilisi	3590433799317662352
54.52156	9.5586	Schleswig	DE	Europe/Berlin	3590433799317661461
40.81	-73.9625	Morningside Heights	US	America/New_York	8630330696303481164
55.39485	43.83992	Arzamas	RU	Europe/Moscow	3590433799317662360
41.55947	14.66737	Campobasso	IT	Europe/Rome	3590433799317662253
53.63333	9.85	Halstenbek	DE	Europe/Berlin	863033069630348263
23.0072	-82.4017	Boyeros	CU	America/Havana	863033069630348297
43.48961	-8.2194	Ferrol	ES	Europe/Madrid	3590433799317662170
39.43534	-84.20299	Lebanon	US	America/New_York	8630330696303481966
55.82885	-4.21376	Rutherglen	GB	Europe/London	8630330696303481479
52.53048	13.29371	Charlottenburg-Nord	DE	Europe/Berlin	8630330696303481701
53.78333	-1.06667	Selby	GB	Europe/London	863033069630348370
10.15031	-73.9614	El Copey	CO	America/Bogota	359043379931766031
14.37395	100.48528	Bang Ban	TH	Asia/Bangkok	3590433799317661370
-10.95817	-38.79084	Tucano	BR	America/Bahia	359043379931766791
23.29549	113.82465	Licheng	CN	Asia/Shanghai	359043379931766205
25.66795	85.83636	Dalsingh Sarai	IN	Asia/Kolkata	8630330696303481933
26.44931	91.61356	Rangia	IN	Asia/Kolkata	3590433799317661289
37.16911	10.03478	El Alia	TN	Africa/Tunis	863033069630348586
4.96667	10.7	Tonga	CM	Africa/Douala	359043379931766726
46.75451	33.34864	Nova Kakhovka	UA	Europe/Kyiv	3590433799317661727
