ts	imei	mwra	c.dogalize	c.android.gm	c.android.chrome	c.android.youtube	c.katana	c.updateassist	c.UCMobile.x86	c.android.vending	c.raider	c.UCMobile.intl
2018-05-05 10:00:00	3590433799317661966	1.00000	9.03970	14.35315	13.76020	11.12559	6.73850	66.91554	54.28226	16.75773	4.64834	30.67838
2018-05-05 10:01:00	3590433799317661073	1.00000	9.41478	7.51650	12.31292	12.55000	7.19936	32.67809	64.59178	29.13667	28.68688	59.46351
2018-05-05 10:02:00	359043379931766445	0.00000	13.25806	7.23549	10.30754	7.77630	13.17780	55.29738	36.98063	65.83367	73.22975	37.54590
2018-05-05 10:03:00	3590433799317662014	0.00000	11.41695	8.09047	8.96150	9.97905	11.82898	38.55251	46.93124	58.06052	15.85001	36.53092
2018-05-05 10:04:00	3590433799317661651	0.00000	12.47250	9.28802	8.48795	8.60786	11.82816	43.46316	43.94921	47.15770	39.61245	38.15171
2018-05-05 10:05:00	3590433799317662121	1.00000	15.70151	9.55934	13.11755	14.39435	8.52618	59.45090	41.83992	71.90898	82.36126	57.30761
2018-05-05 10:06:00	8630330696303482345	1.00000	8.82714	10.40226	8.48733	11.91309	10.42813	45.53188	51.67821	32.83550	73.00306	68.04731
2018-05-05 10:07:00	863033069630348578	0.00000	12.23568	9.63277	7.27736	7.22882	12.73859	45.49736	54.25746	43.66813	85.64220	31.82296
2018-05-05 10:08:00	863033069630348438	1.00000	13.92085	5.80072	11.89371	9.49882	6.95062	56.52569	50.10473	83.44033	1.52234	36.76875
2018-05-05 10:09:00	8630330696303481156	0.00000	12.23485	8.20488	11.47774	12.24022	11.91586	64.03391	58.52899	77.83218	99.30985	89.52970
2018-05-05 10:10:00	359043379931766510	1.00000	11.85306	9.85132	12.40892	8.27859	11.40712	68.76906	40.27870	39.87314	24.51810	66.31157
2018-05-05 10:11:00	863033069630348602	0.00000	13.00651	10.92669	11.25496	7.41266	11.34389	50.35818	56.49610	60.78937	11.29587	52.46514
2018-05-05 10:12:00	863033069630348818	1.00000	12.96558	15.14659	16.09181	12.42788	7.37770	54.93944	61.99777	45.50999	56.61424	86.12101
2018-05-05 10:13:00	8630330696303481370	0.00000	12.78580	6.82616	10.59886	9.92436	15.96713	32.11843	70.04977	59.97863	0.84593	9.06382
2018-05-05 10:14:00	3590433799317661867	1.00000	11.66069	6.76664	7.91439	6.38276	11.41599	37.09228	50.38653	36.12903	39.15009	30.00744
2018-05-05 10:15:00	359043379931766064	1.00000	13.93576	13.24902	10.62242	11.38931	13.18576	42.56661	47.52553	0.84196	76.61702	56.47643
2018-05-05 10:16:00	3590433799317661685	1.00000	14.78816	8.26948	12.60769	10.70230	9.33954	57.27647	48.16304	14.23976	94.78006	11.20688
2018-05-05 10:17:00	359043379931766650	0.00000	13.62205	8.99051	7.39280	9.51771	13.69183	32.38733	54.93596	26.49811	44.41768	11.83328
2018-05-05 10:18:00	3590433799317661032	1.00000	12.23669	10.77605	11.98817	8.67725	7.06529	51.41198	76.69795	5.69900	75.57446	98.86930
2018-05-05 10:19:00	359043379931766486	0.00000	14.37497	11.06378	9.14818	10.58529	14.73133	57.01766	49.51004	34.56653	67.56913	14.92096
2018-05-05 10:20:00	359043379931766064	1.00000	15.14911	14.28776	15.64267	10.99439	11.18764	55.55555	68.65188	24.12974	39.87699	19.16759
2018-05-05 10:21:00	8630330696303481438	0.00000	10.84245	11.52547	8.98899	7.28773	11.77748	51.46484	68.10427	32.15235	71.16315	63.83080
2018-05-05 10:22:00	3590433799317662337	1.00000	13.99488	10.80447	14.35270	16.41405	10.67033	40.42457	50.09832	76.21124	78.59369	25.80393
2018-05-05 10:23:00	863033069630348651	0.00000	13.81642	9.89207	7.64842	10.95358	14.79502	50.40574	54.79078	87.00312	43.66231	55.50774
2018-05-05 10:24:00	863033069630348172	0.00000	12.80317	5.13929	11.44140	8.34291	11.48982	64.84926	36.39475	73.69854	4.09291	47.33451
2018-05-05 10:25:00	8630330696303481263	1.00000	13.96528	13.08602	12.37982	8.01222	7.64237	47.06370	43.82227	10.41502	72.63984	40.01893
2018-05-05 10:26:00	863033069630348214	1.00000	12.43769	8.08903	11.40578	9.31062	5.99188	60.98101	46.09286	60.63247	12.87367	4.13167
2018-05-05 10:27:00	863033069630348073	1.00000	11.21058	9.57966	11.21631	14.23042	6.68917	43.60717	46.00145	69.07663	10.99747	63.14245
2018-05-05 10:28:00	3590433799317662352	1.00000	9.86185	7.45050	10.70438	11.92884	7.70464	50.46848	80.55074	45.13062	86.36397	58.42173
2018-05-05 10:29:00	8630330696303481776	1.00000	13.89562	8.21956	17.07655	16.77601	11.88494	55.44187	51.75119	94.64416	10.03582	8.83242
2018-05-05 10:30:00	3590433799317661081	1.00000	14.26928	14.84836	17.23445	14.41403	8.71749	70.09894	44.82656	84.97484	39.80196	13.06408
2018-05-05 10:31:00	3590433799317661974	1.00000	11.36950	13.78897	12.50468	8.10230	9.35499	58.26860	82.80051	1.71411	71.12580	98.12861
2018-05-05 10:32:00	863033069630348032	1.00000	10.31139	11.45895	9.73852	7.28621	8.06560	61.40479	63.74230	33.70596	75.49164	75.35580
2018-05-05 10:33:00	8630330696303481958	1.00000	8.98419	5.85654	10.45495	13.99939	8.36203	40.95103	58.87076	93.14900	66.17994	50.97204
2018-05-05 10:34:00	8630330696303481768	1.00000	14.54403	13.08708	12.18894	5.18475	9.24657	40.88215	52.72116	97.98547	65.71729	54.68578
2018-05-05 10:35:00	3590433799317661032	1.00000	14.38108	10.05099	14.00043	12.65048	11.56615	38.90288	36.52733	83.49709	58.37455	24.01355
2018-05-05 10:36:00	8630330696303481693	0.00000	14.36118	8.34318	8.09096	12.72473	17.52641	85.69751	56.23726	31.47242	40.09138	28.50026
2018-05-05 10:37:00	359043379931766981	0.00000	10.06608	9.49995	13.60046	9.75244	15.96924	69.17995	61.16257	2.11453	79.47784	71.68979
2018-05-05 10:38:00	863033069630348594	0.00000	11.30439	10.26937	9.30008	8.87590	12.97684	46.78591	65.65573	42.15009	85.01955	89.11041
2018-05-05 10:39:00	3590433799317662279	1.00000	13.40691	13.06812	13.46424	8.47161	10.97529	32.64260	62.87309	59.42367	38.96223	74.32399
2018-05-05 10:40:00	359043379931766494	1.00000	12.29950	12.53551	11.95692	7.40614	9.66275	55.59593	53.68259	67.80787	58.46440	9.88406
2018-05-05 10:41:00	8630330696303481032	1.00000	11.02104	13.35789	13.97387	11.25554	8.68721	55.01092	51.65387	90.08738	62.66144	56.31785
2018-05-05 10:42:00	359043379931766494	1.00000	10.97528	12.87748	11.69437	7.34769	9.18402	41.52942	57.33331	40.67033	1.69851	1.96025
2018-05-05 10:43:00	3590433799317661644	0.00000	12.05360	7.58790	16.05465	12.09461	7.61634	41.79796	55.06907	6.81025	87.30574	24.89671
2018-05-05 10:44:00	359043379931766163	1.00000	12.57892	10.89878	13.57776	15.06563	8.42307	67.72363	39.17867	58.83134	56.31605	57.68723
2018-05-05 10:45:00	359043379931766981	0.00000	12.88792	6.79389	12.60718	8.82989	9.44554	32.91197	64.14838	47.33392	64.80891	40.22937
2018-05-05 10:46:00	3590433799317662287	1.00000	12.09732	12.96598	14.68518	12.83844	10.63199	70.08203	65.67740	85.19801	51.68513	39.21232
2018-05-05 10:47:00	3590433799317661099	1.00000	13.03131	8.53703	12.19878	9.07611	5.95730	56.61922	51.20013	75.39965	65.13721	57.78806
2018-05-05 10:48:00	863033069630348552	1.00000	13.47852	13.48292	14.47018	9.64494	7.59157	51.76907	59.25430	20.32804	50.94663	73.16101
2018-05-05 10:49:00	863033069630348453	1.00000	16.37832	9.79063	11.71085	10.94614	11.63580	56.61418	33.89652	29.29391	72.93104	79.01128
2018-05-05 10:50:00	3590433799317661149	0.00000	14.05987	7.24148	7.42425	10.13073	14.24771	54.84110	47.28575	18.09258	79.43575	6.62207
2018-05-05 10:51:00	359043379931766817	1.00000	9.55203	8.06545	7.82135	8.66972	14.07730	61.11067	55.54463	32.30938	61.10566	29.21673
2018-05-05 10:52:00	863033069630348297	1.00000	9.07420	9.06810	11.19427	5.70383	12.82180	49.22611	50.71618	10.39940	51.66282	65.73464
