ts	imei	mwra	p.android.gm	p.android.externalstorage	p.android.documentsui	p.system	p.android.settings	p.android.packageinstaller	p.android.chrome	p.android.defcontainer	p.gms.persistent	p.notifier	p.dogalize	p.inputmethod.latin	p.simulator	p.android.gms	p.android.vending	p.katana	p.process.gapps	p.google	p.olauncher	p.browser.provider
2018-05-05 10:00:00	3590433799317661966	1.00000	13.08147	6.26446	7.97092	11.24427	11.08966	8.23662	11.58103	0.00038	44.16642	45.42923	42.19751	79.40836	45.40991	87.15437	51.41012	69.25298	20.06545	13.62688	21.52231	84.08213
2018-05-05 10:01:00	3590433799317661073	1.00000	9.52577	13.15723	10.12613	14.37023	14.36103	5.40400	7.72424	0.08450	58.75381	22.73984	53.72498	39.27139	13.21933	74.91757	30.24281	53.84815	21.26466	7.85091	1.76933	40.47904
2018-05-05 10:02:00	359043379931766445	0.00000	11.23775	13.43689	12.58645	7.63430	12.54228	12.04773	7.86555	0.11178	68.47431	38.64542	43.77214	36.49072	86.97079	96.17420	7.71312	78.90782	8.32312	41.12966	75.38385	68.61776
2018-05-05 10:03:00	3590433799317662014	0.00000	6.02527	11.05170	12.42098	16.98137	11.35344	11.37062	10.67391	0.01040	56.80196	46.20428	55.74452	48.78629	9.34253	63.25140	61.82840	43.90015	83.45260	61.63458	13.99080	62.90951
2018-05-05 10:04:00	3590433799317661651	0.00000	4.97925	11.86770	10.20366	15.33645	11.64182	12.93403	10.25430	0.02346	61.73057	43.49346	17.59833	49.69782	7.07021	73.27845	46.34725	91.91502	19.71363	12.49803	80.71499	3.93994
2018-05-05 10:05:00	3590433799317662121	1.00000	10.49852	14.19328	12.38328	11.81852	14.56222	9.81392	9.63423	0.23774	70.45594	61.97880	69.36533	23.89380	64.00044	73.02387	31.58972	23.61210	11.68743	20.63937	83.43685	70.68477
2018-05-05 10:06:00	8630330696303482345	1.00000	10.93917	12.90692	15.69363	8.03620	9.96845	6.60184	10.82335	0.06576	41.13550	38.16140	52.21905	12.31880	77.77675	0.84118	33.40843	77.58357	96.18532	83.49977	98.29097	72.25997
2018-05-05 10:07:00	863033069630348578	0.00000	7.60251	16.52868	12.20166	12.01141	10.43280	14.04330	11.52533	2.45508	70.35427	54.58774	33.62859	20.67593	82.49086	67.25999	64.82317	30.47903	24.15710	92.48476	67.66006	92.67005
2018-05-05 10:08:00	863033069630348438	1.00000	8.94177	10.88754	11.82977	14.38922	13.92736	11.79588	3.61178	0.00907	29.51937	42.91255	57.32071	20.33581	54.29297	29.09982	35.89474	61.14017	95.71713	23.64737	58.52151	41.33975
2018-05-05 10:09:00	8630330696303481156	0.00000	13.77757	13.54445	11.45999	6.82004	11.42405	13.46785	8.09746	0.12426	47.66699	58.51312	40.43009	77.19874	38.58146	74.62370	6.39984	44.62534	87.22370	42.20685	98.77875	55.92258
2018-05-05 10:10:00	359043379931766510	1.00000	12.37016	6.45918	11.51225	11.83446	8.72774	7.99596	10.19363	0.00049	53.45051	27.67765	76.62890	52.90463	85.46454	5.98142	55.95782	73.90625	62.49196	63.47684	95.12886	5.22030
2018-05-05 10:11:00	863033069630348602	0.00000	13.31810	5.93353	11.17979	11.25506	5.87021	7.90716	8.33564	0.00039	66.99012	62.68855	67.43612	42.86799	58.91431	89.99526	75.58591	58.58640	30.47786	60.68209	80.55560	72.41231
2018-05-05 10:12:00	863033069630348818	1.00000	11.73922	7.16587	7.54696	14.37094	9.87289	9.81181	9.19400	0.00054	48.05351	56.37770	33.07957	14.47799	8.32739	42.16006	31.63658	59.26351	43.12932	50.70380	98.54384	66.74306
2018-05-05 10:13:00	8630330696303481370	0.00000	7.46561	11.10526	12.80640	12.95967	11.08997	12.76939	12.92409	0.01111	30.32464	34.79445	44.70219	20.94121	50.33048	82.46704	60.33972	74.24054	18.19178	15.55451	33.18214	37.31973
2018-05-05 10:14:00	3590433799317661867	1.00000	3.24359	11.31816	11.07136	13.31499	10.89480	13.82688	9.38454	0.01381	77.25578	69.38848	47.89640	19.95425	44.77186	26.09846	92.65091	35.31494	55.58074	41.54286	60.25981	62.07217
2018-05-05 10:15:00	359043379931766064	1.00000	8.80501	14.87561	16.53825	7.84194	8.82779	6.19372	13.66546	0.47036	56.37782	51.46816	53.45326	84.94346	67.87347	63.68410	36.82218	71.61030	70.74598	20.67840	35.24804	12.89063
2018-05-05 10:16:00	3590433799317661685	1.00000	6.35420	10.17137	12.29376	12.79854	10.28833	10.70244	5.76253	0.00452	41.71224	37.88292	22.00763	94.52416	24.29586	36.55515	54.91457	26.38802	4.15624	99.55356	9.93335	98.27720
2018-05-05 10:17:00	359043379931766650	0.00000	7.27457	11.85757	10.71329	13.73809	12.16482	12.36108	12.42458	0.02315	52.95559	58.03951	49.28419	14.79456	88.39219	25.32533	53.31020	31.14298	25.48652	23.12934	3.00671	52.86174
2018-05-05 10:18:00	3590433799317661032	1.00000	8.21546	10.91360	10.39152	15.83358	9.60618	10.01943	10.29059	0.00906	57.31875	61.45519	51.87722	75.83779	50.57017	86.74420	22.33518	16.80895	52.56920	3.26653	31.02006	90.28274
2018-05-05 10:19:00	359043379931766486	0.00000	10.88873	12.07696	12.58336	14.94493	10.31766	12.05996	8.27075	0.02889	51.03082	42.33690	68.07814	3.03614	34.64315	6.69302	24.07348	1.51297	44.34468	41.96013	67.64663	51.46014
2018-05-05 10:20:00	359043379931766064	1.00000	5.23971	12.76424	13.21100	11.67716	8.94337	9.18349	12.30190	0.05726	68.95462	72.12302	44.14730	77.48046	32.23748	32.08167	58.36789	15.50667	64.28876	71.22001	53.54736	43.97682
2018-05-05 10:21:00	8630330696303481438	0.00000	14.04422	11.79178	14.04058	9.24825	10.63934	9.54905	12.53288	0.02180	60.66628	56.44908	74.35160	7.68078	46.88722	76.10747	8.90935	63.47357	41.73148	22.51409	91.04133	83.60246
2018-05-05 10:22:00	3590433799317662337	1.00000	8.70361	13.10904	11.65318	14.17169	13.05705	8.70661	12.21872	0.08051	57.42868	32.23554	51.85059	98.89554	66.55450	54.81256	32.54582	66.45243	74.42496	69.50218	61.47939	49.75133
2018-05-05 10:23:00	863033069630348651	0.00000	12.96885	11.03488	12.52446	7.42335	15.23005	10.54806	10.64839	0.01018	51.85304	38.82152	66.28748	37.59804	50.59802	65.15236	59.25121	78.83327	68.49405	15.32566	93.64757	36.65025
2018-05-05 10:24:00	863033069630348172	0.00000	11.42751	14.15091	15.37478	12.32309	13.56769	17.11176	8.12220	0.22805	63.84801	75.54115	57.27888	68.07170	1.14389	63.59011	51.70425	65.59403	25.08559	11.12031	4.90246	41.05512
2018-05-05 10:25:00	8630330696303481263	1.00000	12.37209	12.25499	8.42522	13.93082	8.64528	10.64088	8.59634	0.03433	68.74924	36.65581	40.77560	9.39803	92.45071	23.01741	82.61106	31.82838	1.13717	47.67968	74.82254	35.56335
2018-05-05 10:26:00	863033069630348214	1.00000	8.48634	15.37194	12.24499	10.49962	10.80266	8.08490	5.75893	0.77237	48.18096	74.91463	46.74071	28.56747	27.89042	28.62132	83.94499	77.98279	38.56975	12.01394	99.64723	8.87523
2018-05-05 10:27:00	863033069630348073	1.00000	9.45324	11.33566	9.58695	14.07275	14.28173	7.62359	8.20825	0.01375	53.92740	47.56138	49.72120	80.56106	86.23228	80.62760	8.06525	61.93445	35.73539	96.98688	25.42611	54.85682
2018-05-05 10:28:00	3590433799317662352	1.00000	11.33318	13.05266	12.39515	12.91184	13.77222	8.48636	7.71800	0.07618	56.34517	56.71575	63.14458	6.65302	59.43456	90.68957	7.31304	3.23278	13.71090	64.79623	27.17502	67.11406
2018-05-05 10:29:00	8630330696303481776	1.00000	10.69446	13.84720	14.68106	15.75874	15.86818	11.05676	13.54834	0.16838	64.17517	20.94139	38.03192	87.76231	49.42543	24.53758	85.14615	20.25567	44.86930	78.07593	85.07204	61.12114
2018-05-05 10:30:00	3590433799317661081	1.00000	7.31253	13.81022	11.46873	11.46780	11.28086	8.15565	13.18544	0.16214	56.73555	54.36221	62.29740	67.09314	19.14034	97.36029	54.23050	49.48345	5.58458	87.89966	35.07515	64.16088
2018-05-05 10:31:00	3590433799317661974	1.00000	13.31729	7.95729	9.59606	12.60560	8.54979	8.33567	10.24010	0.00081	48.28703	47.44823	53.16197	63.62619	70.63091	83.11330	49.91769	54.35411	94.87654	71.76834	3.56596	83.82303
2018-05-05 10:32:00	863033069630348032	1.00000	12.45646	11.10592	11.63972	10.46476	9.36239	7.07691	11.21889	0.01113	65.74827	32.64121	60.49894	8.33579	82.89407	29.64863	85.72187	88.89308	32.61969	74.52353	28.81670	74.15463
2018-05-05 10:33:00	8630330696303481958	1.00000	11.57525	13.63093	12.65817	12.52343	14.08006	6.88173	8.63202	0.13562	51.31304	56.16012	65.72592	98.10152	50.70790	61.41929	67.94577	33.28027	93.69477	43.66777	4.46751	15.57866
2018-05-05 10:34:00	8630330696303481768	1.00000	14.35859	10.62153	7.75219	13.23243	5.22046	9.91229	7.11423	0.00685	49.48937	71.42017	50.84907	0.62137	45.95331	41.53734	37.79336	20.00130	94.80993	35.37923	54.26228	91.47164
2018-05-05 10:35:00	3590433799317661032	1.00000	9.72846	12.21847	14.75783	12.34737	12.75914	11.16123	10.86067	0.03320	40.86737	50.64392	51.26008	10.78009	82.05503	98.11904	7.21957	98.83760	49.48873	11.68746	93.49761	64.83271
